STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,st_case_year,idno
24,240277,0,1,5,55,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240277_2015,4712
24,240278,0,1,5,51,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240278_2015,4713
24,240282,0,1,6,0,1,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290,240282_2015,4714
24,240286,0,1,6,64,1,0,0,0,0,280,7,2,77,2,7,1,7,7,7,7,0,290,240286_2015,4715
24,240289,0,1,5,48,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240289_2015,4716
24,240303,0,1,5,62,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240303_2015,4717
24,240314,0,1,5,44,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240314_2015,4718
24,240323,0,1,5,61,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240323_2015,4719
24,240324,0,1,5,34,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,240324_2015,4720
24,240335,0,1,5,21,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0,240335_2015,4721
24,240341,0,1,5,69,2,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240341_2015,4722
24,240341,0,2,5,64,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240341_2015,4723
24,240349,0,1,5,37,1,0,0,0,440,0,3,7,4,7,8,7,8,8,8,8,400,0,240349_2015,4724
24,240350,0,1,5,58,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240350_2015,4725
24,240352,0,1,5,48,1,1,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240352_2015,4726
24,240352,0,2,5,56,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240352_2015,4727
24,240354,0,1,5,21,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240354_2015,4728
24,240359,0,1,5,18,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240359_2015,4729
24,240361,0,1,5,95,2,1,0,0,690,0,1,7,2,7,1,7,2,3,2,3b,990,0,240361_2015,4730
24,240364,0,1,5,30,2,0,0,0,760,0,1,7,1,7,2,7,3,3,2,4b,750,0,240364_2015,4731
24,240371,0,1,6,64,1,0,0,0,0,239,7,3,77,1,7,1,7,7,7,7,0,230,240371_2015,4732
24,240371,0,2,7,59,2,0,0,0,0,239,7,3,77,1,7,1,7,7,7,7,0,230,240371_2015,4733
24,240372,0,1,5,33,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240372_2015,4734
24,240374,0,1,5,60,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,240374_2015,4735
24,240379,0,1,5,47,1,1,0,0,760,0,1,7,2,7,4,7,1,3,1,1b,750,0,240379_2015,4736
