st_case_year,STATE,ST_CASE,VEH_NO,MDRDSTRD,idno
240183_2013,24,240183,1,0,450
240184_2013,24,240184,1,93,451
240184_2013,24,240184,2,0,452
240185_2013,24,240185,1,1,453
240186_2013,24,240186,1,93,454
240187_2013,24,240187,1,93,455
240188_2013,24,240188,1,0,456
240189_2013,24,240189,1,0,457
240190_2013,24,240190,1,99,458
240191_2013,24,240191,1,93,459
240192_2013,24,240192,1,93,460
240193_2013,24,240193,1,0,461
240193_2013,24,240193,2,0,462
240194_2013,24,240194,1,99,463
240195_2013,24,240195,1,0,464
240195_2013,24,240195,2,0,465
240195_2013,24,240195,3,0,466
240196_2013,24,240196,1,93,467
240196_2013,24,240196,2,0,468
240197_2013,24,240197,1,0,469
240197_2013,24,240197,2,0,470
240197_2013,24,240197,3,0,471
240198_2013,24,240198,1,0,472
240198_2013,24,240198,2,0,473
240199_2013,24,240199,1,0,474
240199_2013,24,240199,2,0,475
240200_2013,24,240200,1,93,476
240200_2013,24,240200,2,0,477
240201_2013,24,240201,1,0,478
240201_2013,24,240201,2,0,479
240202_2013,24,240202,1,93,480
240203_2013,24,240203,1,0,481
240204_2013,24,240204,1,0,482
240205_2013,24,240205,1,0,483
240206_2013,24,240206,1,0,484
240207_2013,24,240207,1,93,485
240207_2013,24,240207,2,0,486
240207_2013,24,240207,3,0,487
240208_2013,24,240208,1,93,488
240208_2013,24,240208,2,0,489
240209_2013,24,240209,1,0,490
240210_2013,24,240210,1,0,491
240211_2013,24,240211,1,0,492
240212_2013,24,240212,1,0,493
240212_2013,24,240212,2,0,494
240213_2013,24,240213,1,0,495
240214_2013,24,240214,1,93,496
240214_2013,24,240214,2,0,497
240215_2013,24,240215,1,0,498
240216_2013,24,240216,1,99,499
240217_2013,24,240217,1,93,500
240218_2013,24,240218,1,93,501
240218_2013,24,240218,2,0,502
240219_2013,24,240219,1,1,503
240220_2013,24,240220,1,0,504
240221_2013,24,240221,1,93,505
240221_2013,24,240221,2,0,506
240222_2013,24,240222,1,0,507
240223_2013,24,240223,1,0,508
240223_2013,24,240223,2,0,509
240224_2013,24,240224,1,93,510
240224_2013,24,240224,2,0,511
240225_2013,24,240225,1,1,512
240226_2013,24,240226,1,0,513
240227_2013,24,240227,1,93,514
240227_2013,24,240227,2,0,515
240228_2013,24,240228,1,93,516
240228_2013,24,240228,2,0,517
240229_2013,24,240229,1,93,518
240230_2013,24,240230,1,99,519
240231_2013,24,240231,1,99,520
240232_2013,24,240232,1,99,521
240233_2013,24,240233,1,93,522
240234_2013,24,240234,1,93,523
240235_2013,24,240235,1,0,524
240235_2013,24,240235,2,0,525
240236_2013,24,240236,1,0,526
240237_2013,24,240237,1,99,527
240238_2013,24,240238,1,93,528
240239_2013,24,240239,1,93,529
240239_2013,24,240239,2,93,530
240239_2013,24,240239,3,93,531
240240_2013,24,240240,1,93,532
240240_2013,24,240240,2,0,533
240241_2013,24,240241,1,99,534
240241_2013,24,240241,2,99,535
240242_2013,24,240242,1,0,536
240243_2013,24,240243,1,99,537
240244_2013,24,240244,1,0,538
240245_2013,24,240245,1,99,539
240245_2013,24,240245,2,0,540
240245_2013,24,240245,3,0,541
240246_2013,24,240246,1,19,542
240246_2013,24,240246,2,0,543
240247_2013,24,240247,1,92,544
240248_2013,24,240248,1,0,545
240248_2013,24,240248,2,0,546
240249_2013,24,240249,1,0,547
240249_2013,24,240249,2,0,548
240250_2013,24,240250,1,93,549
240250_2013,24,240250,2,0,550
240251_2013,24,240251,1,0,551
240251_2013,24,240251,2,0,552
240251_2013,24,240251,3,0,553
240251_2013,24,240251,4,0,554
240252_2013,24,240252,1,0,555
240252_2013,24,240252,2,0,556
240253_2013,24,240253,1,1,557
240254_2013,24,240254,1,0,558
240255_2013,24,240255,1,0,559
240256_2013,24,240256,1,0,560
240257_2013,24,240257,1,0,561
240258_2013,24,240258,1,0,562
240259_2013,24,240259,1,0,563
240260_2013,24,240260,1,93,564
240261_2013,24,240261,1,0,565
240262_2013,24,240262,1,0,566
240262_2013,24,240262,2,0,567
240263_2013,24,240263,1,6,568
240264_2013,24,240264,1,99,569
240265_2013,24,240265,1,93,570
240266_2013,24,240266,1,99,571
240267_2013,24,240267,1,0,572
240267_2013,24,240267,2,0,573
240268_2013,24,240268,1,0,574
240269_2013,24,240269,1,93,575
240270_2013,24,240270,1,93,576
240270_2013,24,240270,2,0,577
240271_2013,24,240271,1,0,578
240272_2013,24,240272,1,93,579
240273_2013,24,240273,1,93,580
240273_2013,24,240273,2,0,581
240274_2013,24,240274,1,93,582
240275_2013,24,240275,1,93,583
240276_2013,24,240276,1,93,584
240276_2013,24,240276,2,0,585
240277_2013,24,240277,1,0,586
240278_2013,24,240278,1,0,587
240279_2013,24,240279,1,93,588
240280_2013,24,240280,1,93,589
240280_2013,24,240280,2,0,590
240281_2013,24,240281,1,93,591
240282_2013,24,240282,1,93,592
240283_2013,24,240283,1,5,593
240284_2013,24,240284,1,0,594
240285_2013,24,240285,1,0,595
240286_2013,24,240286,1,0,596
240286_2013,24,240286,2,0,597
240287_2013,24,240287,1,0,598
240288_2013,24,240288,1,99,599
240289_2013,24,240289,1,99,600
240290_2013,24,240290,1,93,601
240290_2013,24,240290,2,0,602
240291_2013,24,240291,1,93,603
240292_2013,24,240292,1,99,604
240293_2013,24,240293,1,99,605
240294_2013,24,240294,1,93,606
240294_2013,24,240294,2,0,607
240294_2013,24,240294,3,0,608
240295_2013,24,240295,1,93,609
240295_2013,24,240295,2,0,610
240296_2013,24,240296,1,93,611
240296_2013,24,240296,2,0,612
240297_2013,24,240297,1,0,613
240297_2013,24,240297,2,0,614
240297_2013,24,240297,3,0,615
240297_2013,24,240297,4,0,616
240298_2013,24,240298,1,93,617
240299_2013,24,240299,1,93,618
240300_2013,24,240300,1,93,619
240301_2013,24,240301,1,99,620
240302_2013,24,240302,1,93,621
240303_2013,24,240303,1,99,622
240304_2013,24,240304,1,0,623
240305_2013,24,240305,1,0,624
240306_2013,24,240306,1,0,625
240306_2013,24,240306,2,0,626
240307_2013,24,240307,1,0,627
240308_2013,24,240308,1,99,628
240309_2013,24,240309,1,99,629
240309_2013,24,240309,2,0,630
240310_2013,24,240310,1,0,631
240311_2013,24,240311,1,93,632
240312_2013,24,240312,1,0,633
240313_2013,24,240313,1,0,634
240314_2013,24,240314,1,1,635
240315_2013,24,240315,1,0,636
240316_2013,24,240316,1,0,637
240317_2013,24,240317,1,0,638
240317_2013,24,240317,2,0,639
240318_2013,24,240318,1,93,640
240319_2013,24,240319,1,93,641
240319_2013,24,240319,2,0,642
240320_2013,24,240320,1,1,643
240320_2013,24,240320,2,0,644
240321_2013,24,240321,1,0,645
240322_2013,24,240322,1,93,646
240323_2013,24,240323,1,93,647
240324_2013,24,240324,1,93,648
240324_2013,24,240324,2,0,649
240325_2013,24,240325,1,0,650
240326_2013,24,240326,1,93,651
240326_2013,24,240326,2,0,652
240326_2013,24,240326,3,0,653
240326_2013,24,240326,4,0,654
240326_2013,24,240326,5,0,655
240326_2013,24,240326,6,0,656
240326_2013,24,240326,7,0,657
240326_2013,24,240326,8,0,658
240327_2013,24,240327,1,93,659
240328_2013,24,240328,1,93,660
240329_2013,24,240329,1,0,661
240329_2013,24,240329,2,16,662
240330_2013,24,240330,1,0,663
240330_2013,24,240330,2,0,664
240331_2013,24,240331,1,0,665
240332_2013,24,240332,1,93,666
240332_2013,24,240332,2,0,667
240332_2013,24,240332,3,0,668
240333_2013,24,240333,1,93,669
240333_2013,24,240333,2,0,670
240334_2013,24,240334,1,93,671
240334_2013,24,240334,2,0,672
240335_2013,24,240335,1,98,673
240335_2013,24,240335,2,0,674
240336_2013,24,240336,1,0,675
240336_2013,24,240336,2,0,676
240337_2013,24,240337,1,0,677
240337_2013,24,240337,2,0,678
240338_2013,24,240338,1,93,679
240338_2013,24,240338,2,0,680
240339_2013,24,240339,1,0,681
240339_2013,24,240339,2,0,682
240339_2013,24,240339,3,0,683
240339_2013,24,240339,4,0,684
240340_2013,24,240340,1,0,685
240340_2013,24,240340,2,0,686
240341_2013,24,240341,1,93,687
240341_2013,24,240341,2,0,688
240342_2013,24,240342,1,0,689
240343_2013,24,240343,1,0,690
240344_2013,24,240344,1,0,691
240344_2013,24,240344,2,0,692
240345_2013,24,240345,1,0,693
240345_2013,24,240345,2,0,694
240346_2013,24,240346,1,93,695
240346_2013,24,240346,2,0,696
240347_2013,24,240347,1,0,697
240347_2013,24,240347,2,0,698
240347_2013,24,240347,3,0,699
240348_2013,24,240348,1,93,700
240349_2013,24,240349,1,0,701
240350_2013,24,240350,1,0,702
240350_2013,24,240350,2,0,703
240351_2013,24,240351,1,93,704
240351_2013,24,240351,2,0,705
240351_2013,24,240351,3,0,706
240351_2013,24,240351,4,0,707
240352_2013,24,240352,1,9,708
240353_2013,24,240353,1,93,709
