st_case_year,STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK,idno
100009_2013,10,100009,1,2,2,11,2,18,0,8,0,1,0,10,1,49,32,49032,4,2013,2T1BU4EE8DC0,2,T,1,B,U,4,E,E,8,D,C,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,4,3,8,0,0,0,1,10,19711,6,1,0,0,3,3,69,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,45,1,1,2,2,1,3,1,80,2,2,1,13,0,0,12
100009_2013,10,100009,2,2,1,11,2,18,0,8,0,1,1,99,9,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,14,9,5,8,0,0,0,1,99,99999,9,9,99,9,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,0,0,0,0,3,2,45,1,1,2,2,1,3,1,80,1,1,1,98,0,0,13
100010_2013,10,100010,1,1,1,10,2,8,53,33,0,1,0,10,1,6,52,6052,6,2004,3C4FY58B04T2,3,C,4,F,Y,5,8,B,0,4,T,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,4,3,42,0,0,0,1,10,19713,6,1,0,0,3,0,66,185,0,0,0,0,0,0,0,0,0,0,99,99,99,99,2,2,45,1,2,2,1,0,0,1,13,1,1,4,1,1,1,14
100011_2013,10,100011,1,2,1,11,2,13,21,12,6,1,0,10,2,6,43,6043,2,2004,1C3EL55RX4N2,1,C,3,E,L,5,5,R,X,4,N,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,2,6,2,12,0,0,0,1,10,19804,6,1,0,0,3,0,66,170,0,0,0,1,0,4,2012,4,2012,0,0,0,0,0,3,2,40,1,1,2,2,21,3,1,66,4,1,2,69,0,0,15
100011_2013,10,100011,2,2,2,11,2,13,21,12,6,1,0,10,1,7,442,7442,20,2003,1D4GP25R33B2,1,D,4,G,P,2,5,R,3,3,B,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,12,6,2,12,0,0,0,1,10,19808,6,1,0,0,3,0,64,145,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3,2,45,1,1,2,2,21,3,11,15,1,1,2,68,1,0,16
100012_2013,10,100012,1,1,1,19,2,20,7,8,0,1,1,99,9,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,000000000,00000000000,9,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,9,5,8,0,0,0,1,99,99999,9,9,99,9,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,0,0,0,0,2,4,50,1,1,2,2,0,0,1,80,99,9,9,13,0,0,17
100013_2013,10,100013,1,2,1,23,2,1,16,8,0,1,0,47,3,87,881,87881,64,2009,1XPWDU9X89N7,1,X,P,W,D,U,9,X,8,9,N,7,1,1,47,091880000,47091880000,3,4,2,2,2,1203,3,1,0,0,0,60,0,0,0,12,4,5,8,0,0,0,1,24,21903,6,1,6,2,3,1,71,182,0,0,0,0,0,0,0,0,0,0,86,0,0,0,3,3,65,1,1,1,2,0,0,1,80,2,1,1,13,0,0,18
100013_2013,10,100013,2,2,2,23,2,1,16,8,0,1,0,36,1,37,32,37032,4,2013,1HGCR2F7XDA1,1,H,G,C,R,2,F,7,X,D,A,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,12,2,5,8,0,0,0,1,36,12198,6,1,0,0,3,0,68,999,0,0,0,0,0,0,0,0,0,0,86,0,0,0,3,3,65,1,1,1,2,0,0,1,80,7,1,1,98,0,0,19
100014_2013,10,100014,1,1,1,21,2,7,24,42,0,1,0,10,1,55,35,55035,2,2007,KMHDU46D97U0,K,M,H,D,U,4,6,D,9,7,U,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,42,0,0,1,1,10,19711,6,1,0,0,3,3,70,212,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,15,3,8,8,1,0,0,14,13,1,2,4,2,1,0,20
100015_2013,10,100015,1,2,2,14,2,14,24,12,6,1,0,10,1,49,32,49032,4,2001,2T1BR12E81C5,2,T,1,B,R,1,2,E,8,1,C,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,12,0,0,0,1,10,19701,6,1,0,0,3,0,67,180,0,0,0,1,0,3,2010,3,2010,0,0,0,0,0,2,2,40,1,1,2,1,1,3,1,62,1,1,1,69,1,0,21
